17:46:03 | DEBUG   | eda.placer             | [root] [-] [C10] size=2x6 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [C21] size=2x6 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [C5] size=2x6 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [C6] size=2x6 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [C7] size=2x6 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [C8] size=2x6 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [C9] size=2x6 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [FB1] size=2x6 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [J2] size=2x6 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [R1] size=2x6 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [R2] size=2x6 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [U1] size=28x76 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [X_CAN] size=16x16 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [X_PWR] size=16x52 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [X_UI] size=20x42 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [X_SEN_CABIN] size=16x12 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [X_SEN_HEAT] size=16x12 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [X_SEN_SOLAR] size=16x10 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [X_SEN_COND] size=16x10 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [X_OUT] size=16x16 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [X_ACT] size=16x54 cells
17:46:03 | DEBUG   | eda.placer             | [root] [-] [X_BACKLIGHT] size=16x8 cells
17:46:03 | INFO    | eda.placer             | [root] placement components=22 strategy=matrix
17:46:03 | DEBUG   | eda.placer             | [root] strategy=matrix top=U1(74), X_PWR(54), X_UI(49), X_ACT(45), J2(32)
17:46:03 | DEBUG   | eda.placer             | [root] matrix rcm_first8=['X_BACKLIGHT', 'X_ACT', 'X_OUT', 'X_SEN_COND', 'X_SEN_SOLAR', 'X_SEN_CABIN', 'X_CAN', 'R2']
17:46:03 | DEBUG   | eda.placer             | [root] matrix rows=2 cols=11
17:46:03 | DEBUG   | eda.placer             | [root] matrix cross_col=[52, 87, 73, 66, 59, 54, 42, 38, 36, 27]
17:46:03 | DEBUG   | eda.placer             | [root] matrix cross_row=[110]
17:46:03 | DEBUG   | eda.placer             | [root] matrix col_local=[39, 64, 61, 62, 63, 63, 67, 67, 67, 69]
17:46:03 | DEBUG   | eda.placer             | [root] matrix row_local=[118]
17:46:03 | DEBUG   | eda.placer             | [root] matrix divisor_col=12 divisor_row=3
17:46:03 | DEBUG   | eda.placer             | [root] matrix street_cols=[46, 64, 64, 64, 64, 64, 64, 64, 64, 64]
17:46:03 | DEBUG   | eda.placer             | [root] matrix street_rows=[64]
17:46:03 | DEBUG   | eda.placer             | [root] matrix done components=22 rows=2 cols=11 size=789x197
17:46:03 | DEBUG   | eda.placer             | [root] [-] [X_BACKLIGHT] place bbox_origin=(3,26) anchor_mm=(3.81,33.02) rotation=0 mirror=None size=16x8 cells
