21:51:23 | DEBUG   | eda.kicad_source       | KiCadSource инициализирован
21:51:23 | INFO    | eda.project            | Project создан: /home/vitaly-pc/kicad/climate_control_niva_travel/main.yaml (grid=1.27 мм)
21:51:23 | INFO    | eda.project            | Загрузка /home/vitaly-pc/kicad/climate_control_niva_travel/main.yaml
21:51:23 | DEBUG   | eda.project            | root_page: project=Climate Control Niva Travel, version=2.2
21:51:24 | DEBUG   | eda.kicad_source       | Пины Device:C: 2 шт.
21:51:24 | DEBUG   | eda.component          |   C10.1            sym_mm=(   0.00,   3.81) orient=270.0
21:51:24 | DEBUG   | eda.component          |   C10.1            offset_mm=(   0.00,  -3.81) dir=down
21:51:24 | DEBUG   | eda.component          |   C10.2            sym_mm=(   0.00,  -3.81) orient=90.0
21:51:24 | DEBUG   | eda.component          |   C10.2            offset_mm=(   0.00,   3.81) dir=up
21:51:24 | DEBUG   | eda.sheet              | [root] добавлен компонент C10
21:51:24 | DEBUG   | eda.component          |   C21.1            sym_mm=(   0.00,   3.81) orient=270.0
21:51:24 | DEBUG   | eda.component          |   C21.1            offset_mm=(   0.00,  -3.81) dir=down
21:51:24 | DEBUG   | eda.component          |   C21.2            sym_mm=(   0.00,  -3.81) orient=90.0
21:51:24 | DEBUG   | eda.component          |   C21.2            offset_mm=(   0.00,   3.81) dir=up
21:51:24 | DEBUG   | eda.sheet              | [root] добавлен компонент C21
21:51:24 | DEBUG   | eda.component          |   C5.1            sym_mm=(   0.00,   3.81) orient=270.0
21:51:24 | DEBUG   | eda.component          |   C5.1            offset_mm=(   0.00,  -3.81) dir=down
21:51:24 | DEBUG   | eda.component          |   C5.2            sym_mm=(   0.00,  -3.81) orient=90.0
21:51:24 | DEBUG   | eda.component          |   C5.2            offset_mm=(   0.00,   3.81) dir=up
21:51:24 | DEBUG   | eda.sheet              | [root] добавлен компонент C5
21:51:24 | DEBUG   | eda.component          |   C6.1            sym_mm=(   0.00,   3.81) orient=270.0
21:51:24 | DEBUG   | eda.component          |   C6.1            offset_mm=(   0.00,  -3.81) dir=down
21:51:24 | DEBUG   | eda.component          |   C6.2            sym_mm=(   0.00,  -3.81) orient=90.0
21:51:24 | DEBUG   | eda.component          |   C6.2            offset_mm=(   0.00,   3.81) dir=up
21:51:24 | DEBUG   | eda.sheet              | [root] добавлен компонент C6
21:51:24 | DEBUG   | eda.component          |   C7.1            sym_mm=(   0.00,   3.81) orient=270.0
21:51:24 | DEBUG   | eda.component          |   C7.1            offset_mm=(   0.00,  -3.81) dir=down
21:51:24 | DEBUG   | eda.component          |   C7.2            sym_mm=(   0.00,  -3.81) orient=90.0
21:51:24 | DEBUG   | eda.component          |   C7.2            offset_mm=(   0.00,   3.81) dir=up
21:51:24 | DEBUG   | eda.sheet              | [root] добавлен компонент C7
21:51:24 | DEBUG   | eda.component          |   C8.1            sym_mm=(   0.00,   3.81) orient=270.0
21:51:24 | DEBUG   | eda.component          |   C8.1            offset_mm=(   0.00,  -3.81) dir=down
21:51:24 | DEBUG   | eda.component          |   C8.2            sym_mm=(   0.00,  -3.81) orient=90.0
21:51:24 | DEBUG   | eda.component          |   C8.2            offset_mm=(   0.00,   3.81) dir=up
21:51:24 | DEBUG   | eda.sheet              | [root] добавлен компонент C8
21:51:24 | DEBUG   | eda.component          |   C9.1            sym_mm=(   0.00,   3.81) orient=270.0
21:51:24 | DEBUG   | eda.component          |   C9.1            offset_mm=(   0.00,  -3.81) dir=down
21:51:24 | DEBUG   | eda.component          |   C9.2            sym_mm=(   0.00,  -3.81) orient=90.0
21:51:24 | DEBUG   | eda.component          |   C9.2            offset_mm=(   0.00,   3.81) dir=up
21:51:24 | DEBUG   | eda.sheet              | [root] добавлен компонент C9
21:51:25 | DEBUG   | eda.kicad_source       | Пины Device:L: 2 шт.
